=== 일괄 분석 결과 요약 (en -> kr) ===

분석된 파일 수: 231
평균 최종 점수: 0.7072
평균 프로소디 점수: 0.6367
평균 정렬 점수: 0.7248

사용된 임베딩 모델: laser
의미 유사도 임계값: 0.3

== 개별 파일 점수 ==
1. p225_008: 0.8761 (정렬: 0.9423, 등급: A+)
2. p225_003: 0.8728 (정렬: 0.9193, 등급: A+)
3. p225_004: 0.8720 (정렬: 0.9341, 등급: A+)
4. p225_018: 0.8563 (정렬: 0.9186, 등급: A+)
5. p225_094: 0.8547 (정렬: 0.8855, 등급: A+)
6. p225_141: 0.8430 (정렬: 0.8905, 등급: A)
7. p225_334: 0.8424 (정렬: 0.9005, 등급: A)
8. p225_128: 0.8376 (정렬: 0.8790, 등급: A)
9. p225_126: 0.8358 (정렬: 0.8658, 등급: A)
10. p225_019: 0.8352 (정렬: 0.8876, 등급: A)
11. p225_082: 0.8304 (정렬: 0.8833, 등급: A)
12. p225_073: 0.8289 (정렬: 0.8884, 등급: A)
13. p225_024: 0.8276 (정렬: 0.8715, 등급: A)
14. p225_023: 0.8255 (정렬: 0.8740, 등급: A)
15. p225_366: 0.8228 (정렬: 0.8597, 등급: A)
16. p225_060: 0.8208 (정렬: 0.8361, 등급: A)
17. p225_052: 0.8183 (정렬: 0.8586, 등급: A)
18. p225_200: 0.8177 (정렬: 0.8614, 등급: A)
19. p225_029: 0.8168 (정렬: 0.8575, 등급: A)
20. p225_124: 0.8149 (정렬: 0.8616, 등급: A)
21. p225_359: 0.8144 (정렬: 0.8510, 등급: A)
22. p225_131: 0.8126 (정렬: 0.8558, 등급: A)
23. p225_221: 0.8111 (정렬: 0.8504, 등급: A)
24. p225_136: 0.8087 (정렬: 0.8536, 등급: A)
25. p225_127: 0.8050 (정렬: 0.8349, 등급: A)
26. p225_122: 0.8032 (정렬: 0.8408, 등급: A)
27. p225_298: 0.8007 (정렬: 0.8375, 등급: A)
28. p225_064: 0.7998 (정렬: 0.8617, 등급: A)
29. p225_314: 0.7970 (정렬: 0.8303, 등급: A)
30. p225_318: 0.7959 (정렬: 0.8466, 등급: A)
31. p225_174: 0.7932 (정렬: 0.8437, 등급: A)
32. p225_310: 0.7887 (정렬: 0.8194, 등급: A)
33. p225_001: 0.7880 (정렬: 0.8173, 등급: A)
34. p225_133: 0.7876 (정렬: 0.8175, 등급: A)
35. p225_022: 0.7840 (정렬: 0.8069, 등급: A)
36. p225_103: 0.7832 (정렬: 0.8277, 등급: A)
37. p225_354: 0.7827 (정렬: 0.8254, 등급: A)
38. p225_312: 0.7808 (정렬: 0.8048, 등급: A)
39. p225_036: 0.7801 (정렬: 0.8174, 등급: A)
40. p225_223: 0.7789 (정렬: 0.8015, 등급: A)
41. p225_322: 0.7788 (정렬: 0.8137, 등급: A)
42. p225_169: 0.7774 (정렬: 0.8154, 등급: A)
43. p225_305: 0.7762 (정렬: 0.7926, 등급: A)
44. p225_005: 0.7744 (정렬: 0.8121, 등급: A)
45. p225_325: 0.7707 (정렬: 0.8039, 등급: A)
46. p225_104: 0.7693 (정렬: 0.8007, 등급: A)
47. p225_108: 0.7672 (정렬: 0.8077, 등급: A)
48. p225_182: 0.7637 (정렬: 0.7990, 등급: A)
49. p225_115: 0.7623 (정렬: 0.7969, 등급: A)
50. p225_084: 0.7620 (정렬: 0.8017, 등급: A)
51. p225_149: 0.7610 (정렬: 0.7817, 등급: A)
52. p225_308: 0.7605 (정렬: 0.8023, 등급: A)
53. p225_150: 0.7605 (정렬: 0.7785, 등급: A)
54. p225_253: 0.7604 (정렬: 0.7962, 등급: A)
55. p225_153: 0.7602 (정렬: 0.7859, 등급: A)
56. p225_089: 0.7601 (정렬: 0.7988, 등급: A)
57. p225_030: 0.7597 (정렬: 0.7856, 등급: A)
58. p225_039: 0.7572 (정렬: 0.7839, 등급: A)
59. p225_275: 0.7569 (정렬: 0.7758, 등급: A)
60. p225_063: 0.7562 (정렬: 0.7753, 등급: A)
61. p225_051: 0.7538 (정렬: 0.7950, 등급: A)
62. p225_201: 0.7536 (정렬: 0.7972, 등급: A)
63. p225_265: 0.7530 (정렬: 0.7869, 등급: A)
64. p225_349: 0.7526 (정렬: 0.7648, 등급: A)
65. p225_326: 0.7517 (정렬: 0.7717, 등급: A)
66. p225_177: 0.7511 (정렬: 0.7861, 등급: A)
67. p225_222: 0.7487 (정렬: 0.7876, 등급: B)
68. p225_135: 0.7480 (정렬: 0.7772, 등급: B)
69. p225_151: 0.7462 (정렬: 0.7709, 등급: B)
70. p225_191: 0.7458 (정렬: 0.7840, 등급: B)
71. p225_014: 0.7447 (정렬: 0.7699, 등급: B)
72. p225_081: 0.7445 (정렬: 0.7769, 등급: B)
73. p225_012: 0.7442 (정렬: 0.7723, 등급: B)
74. p225_010: 0.7437 (정렬: 0.7692, 등급: B)
75. p225_021: 0.7435 (정렬: 0.7705, 등급: B)
76. p225_254: 0.7408 (정렬: 0.7731, 등급: B)
77. p225_121: 0.7398 (정렬: 0.7588, 등급: B)
78. p225_143: 0.7397 (정렬: 0.7710, 등급: B)
